,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0,hl7.0,hl8.0
2020-03-22,1.6432865731462925,0.561122244488978,2.665330661322645,34.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-23,1.56312625250501,0.5410821643286573,2.5250501002004007,38.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-24,1.4228456913827654,0.4408817635270541,2.344689378757515,41.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-25,1.4228456913827654,0.501002004008016,2.3246492985971945,44.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-26,1.4028056112224447,0.501002004008016,2.244488977955912,48.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-27,1.3226452905811623,0.4609218436873747,2.164328657314629,50.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-28,1.342685370741483,0.501002004008016,2.1442885771543083,54.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-29,1.2625250501002003,0.4408817635270541,2.0440881763527052,56.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-30,1.122244488977956,0.32064128256513025,1.9038076152304608,54.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-31,0.9418837675350701,0.18036072144288576,1.7034068136272544,52.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-01,0.8617234468937875,0.1402805611222445,1.6633266533066131,52.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-02,0.9218436873747494,0.18036072144288576,1.723446893787575,52.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-03,1.0220440881763526,0.24048096192384769,1.8236472945891782,53.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-04,1.0821643286573146,0.3006012024048096,1.8837675350701402,55.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-05,1.4028056112224447,0.6012024048096192,2.1442885771543083,65.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-06,1.503006012024048,0.7414829659318637,2.224448897795591,71.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-07,1.6032064128256511,0.9018036072144289,2.284569138276553,79.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-08,1.5430861723446894,0.8617234468937875,2.1843687374749496,89.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-09,1.9038076152304608,1.3026052104208417,2.50501002004008,117.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-10,1.9839679358717435,1.4228456913827654,2.5250501002004007,139.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-11,1.9639278557114228,1.4629258517034067,2.464929859719439,160.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-12,1.723446893787575,1.2625250501002003,2.1843687374749496,180.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-13,1.8036072144288577,1.3627254509018036,2.224448897795591,219.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-14,1.783567134268537,1.3627254509018036,2.164328657314629,250.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-15,1.8036072144288577,1.4228456913827654,2.164328657314629,289.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-16,1.8236472945891782,1.4829659318637274,2.164328657314629,350.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-17,1.9038076152304608,1.5831663326653307,2.2044088176352705,418.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-18,2.024048096192385,1.7434869739478958,2.3046092184368736,521.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-19,1.8837675350701402,1.6232464929859718,2.1442885771543083,588.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-20,1.9438877755511021,1.7034068136272544,2.164328657314629,719.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-21,1.8236472945891782,1.6032064128256511,2.0440881763527052,835.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-22,1.7635270541082164,1.56312625250501,1.9639278557114228,926.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-23,1.5230460921843687,1.3226452905811623,1.723446893787575,984.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-24,1.342685370741483,1.1623246492985972,1.5230460921843687,1024.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-25,1.1022044088176353,0.9218436873747494,1.3026052104208417,989.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-26,1.0220440881763526,0.8216432865731462,1.2024048096192383,992.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-27,0.8016032064128256,0.6012024048096192,0.9819639278557114,908.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-28,0.7014028056112224,0.5210420841683366,0.9018036072144289,833.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-29,0.5811623246492986,0.3807615230460922,0.781563126252505,782.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-30,0.5811623246492986,0.3807615230460922,0.8016032064128256,717.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-01,0.721442885771543,0.501002004008016,0.9218436873747494,709.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-02,0.7615230460921844,0.5410821643286573,0.9819639278557114,685.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-03,0.8416833667334669,0.6212424849699398,1.062124248496994,653.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-04,0.8016032064128256,0.561122244488978,1.0220440881763526,631.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-05,0.8617234468937875,0.6412825651302605,1.1022044088176353,637.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-06,0.9819639278557114,0.7414829659318637,1.2024048096192383,644.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-07,1.0821643286573146,0.8617234468937875,1.3226452905811623,665.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-08,1.062124248496994,0.8416833667334669,1.3026052104208417,662.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-09,1.1623246492985972,0.9218436873747494,1.3827655310621243,704.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-10,1.1823647294589177,0.9619238476953907,1.4028056112224447,736.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-11,1.1823647294589177,0.9619238476953907,1.4028056112224447,735.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-12,1.1022044088176353,0.9018036072144289,1.3226452905811623,751.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-13,1.002004008016032,0.781563126252505,1.222444889779559,736.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-14,1.002004008016032,0.781563126252505,1.2024048096192383,733.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-15,0.9619238476953907,0.7414829659318637,1.1823647294589177,734.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-16,0.9218436873747494,0.7014028056112224,1.1422845691382766,706.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-17,0.8817635270541082,0.6613226452905812,1.1022044088176353,684.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-18,0.8016032064128256,0.5811623246492986,1.0220440881763526,654.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-19,0.7014028056112224,0.48096192384769537,0.9418837675350701,594.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-20,0.6613226452905812,0.42084168336673344,0.9018036072144289,562.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-21,0.6012024048096192,0.3406813627254509,0.8416833667334669,518.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-22,0.6813627254509018,0.42084168336673344,0.9418837675350701,497.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-23,0.8617234468937875,0.6012024048096192,1.122244488977956,519.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-24,1.002004008016032,0.7414829659318637,1.2625250501002003,519.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-25,1.1022044088176353,0.8416833667334669,1.3627254509018036,530.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-26,1.002004008016032,0.7414829659318637,1.2424849699398797,518.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-27,0.9418837675350701,0.6813627254509018,1.2024048096192383,504.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-28,0.8416833667334669,0.5811623246492986,1.1022044088176353,484.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-29,0.8416833667334669,0.5811623246492986,1.1022044088176353,475.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-30,0.8617234468937875,0.5811623246492986,1.122244488977956,465.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-05-31,0.9418837675350701,0.6813627254509018,1.222444889779559,471.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-01,1.0220440881763526,0.7615230460921844,1.3026052104208417,484.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-02,1.122244488977956,0.8617234468937875,1.3827655310621243,500.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-03,1.122244488977956,0.8416833667334669,1.3827655310621243,504.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-04,1.122244488977956,0.8617234468937875,1.3827655310621243,518.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-05,0.9418837675350701,0.6813627254509018,1.2024048096192383,484.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-06,0.8416833667334669,0.5811623246492986,1.1022044088176353,461.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-07,0.7014028056112224,0.42084168336673344,0.9819639278557114,437.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-08,0.7615230460921844,0.48096192384769537,1.0420841683366733,421.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-09,0.6613226452905812,0.3607214428857715,0.9418837675350701,377.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-10,0.6613226452905812,0.3607214428857715,0.9418837675350701,358.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-11,0.6813627254509018,0.3607214428857715,0.9819639278557114,351.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-12,1.002004008016032,0.6813627254509018,1.3026052104208417,376.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-13,1.1022044088176353,0.8016032064128256,1.4228456913827654,382.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-14,1.1823647294589177,0.8617234468937875,1.4629258517034067,389.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-15,1.002004008016032,0.6813627254509018,1.282565130260521,375.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-16,0.8817635270541082,0.5811623246492986,1.1823647294589177,358.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-17,0.6813627254509018,0.3607214428857715,0.9819639278557114,322.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-18,0.561122244488978,0.24048096192384769,0.8817635270541082,290.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-19,0.3807615230460922,0.06012024048096192,0.721442885771543,248.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-20,0.4008016032064128,0.06012024048096192,0.7615230460921844,227.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-21,0.4408817635270541,0.08016032064128256,0.8216432865731462,212.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-22,0.7414829659318637,0.32064128256513025,1.122244488977956,214.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-23,0.8617234468937875,0.4609218436873747,1.2625250501002003,211.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-24,0.9218436873747494,0.501002004008016,1.3226452905811623,202.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-25,0.7615230460921844,0.3406813627254509,1.1623246492985972,186.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-26,0.8016032064128256,0.3607214428857715,1.2024048096192383,188.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-27,0.9018036072144289,0.48096192384769537,1.3226452905811623,192.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-28,1.0420841683366733,0.6012024048096192,1.4629258517034067,191.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-29,1.062124248496994,0.6412825651302605,1.4829659318637274,196.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-06-30,1.1823647294589177,0.7615230460921844,1.5831663326653307,213.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-07-01,1.2424849699398797,0.8216432865731462,1.6432865731462925,219.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-07-02,1.2424849699398797,0.8416833667334669,1.6232464929859718,226.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-07-03,1.0220440881763526,0.6212424849699398,1.4228456913827654,217.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-07-04,0.8817635270541082,0.48096192384769537,1.282565130260521,204.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-07-05,0.721442885771543,0.3006012024048096,1.122244488977956,193.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-07-06,0.721442885771543,0.3006012024048096,1.1422845691382766,186.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-07-07,0.7414829659318637,0.3006012024048096,1.1623246492985972,175.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-07-08,0.7414829659318637,0.3006012024048096,1.1823647294589177,167.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
