,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-04-28,1.1623246492985972,1.0821643286573146,1.2424849699398797,5847.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-29,1.1623246492985972,1.0821643286573146,1.2424849699398797,5980.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-30,1.1623246492985972,1.0821643286573146,1.2424849699398797,6236.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-01,1.1823647294589177,1.1022044088176353,1.2625250501002003,6485.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-02,1.2625250501002003,1.1823647294589177,1.342685370741483,6945.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-03,1.342685370741483,1.2625250501002003,1.4028056112224447,7566.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-04,1.4228456913827654,1.3627254509018036,1.4829659318637274,8280.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-05,1.442885771543086,1.3627254509018036,1.503006012024048,8939.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-06,1.4228456913827654,1.342685370741483,1.4829659318637274,9620.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-07,1.342685370741483,1.3026052104208417,1.4028056112224447,10160.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-08,1.282565130260521,1.222444889779559,1.342685370741483,10503.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-09,1.1823647294589177,1.122244488977956,1.222444889779559,10653.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-10,1.1022044088176353,1.0420841683366733,1.1422845691382766,10723.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-11,1.062124248496994,1.002004008016032,1.122244488977956,10869.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-12,1.062124248496994,1.002004008016032,1.1022044088176353,10987.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-13,1.0420841683366733,0.9819639278557114,1.0821643286573146,10945.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-14,0.9819639278557114,0.9418837675350701,1.0420841683366733,10797.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-15,0.9619238476953907,0.9018036072144289,1.0220440881763526,10725.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-16,0.9218436873747494,0.8617234468937875,0.9819639278557114,10488.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-17,0.9018036072144289,0.8617234468937875,0.9619238476953907,10258.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-18,0.8617234468937875,0.8016032064128256,0.9218436873747494,9912.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-19,0.8617234468937875,0.8016032064128256,0.9218436873747494,9681.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-20,0.8617234468937875,0.8016032064128256,0.9218436873747494,9485.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-21,0.8817635270541082,0.8216432865731462,0.9418837675350701,9297.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-22,0.8817635270541082,0.8216432865731462,0.9418837675350701,9083.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-23,0.9218436873747494,0.8617234468937875,0.9819639278557114,9073.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-24,0.9418837675350701,0.8817635270541082,1.002004008016032,8964.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-25,0.9819639278557114,0.9218436873747494,1.0420841683366733,8961.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-26,0.9819639278557114,0.9018036072144289,1.0420841683366733,8929.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-27,0.9819639278557114,0.9218436873747494,1.0420841683366733,8880.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-28,0.9619238476953907,0.9018036072144289,1.0220440881763526,8800.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-29,0.9619238476953907,0.9018036072144289,1.0220440881763526,8723.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-30,0.9619238476953907,0.9018036072144289,1.0220440881763526,8650.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-31,0.9819639278557114,0.9218436873747494,1.0420841683366733,8713.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-01,1.002004008016032,0.9418837675350701,1.062124248496994,8694.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-02,1.0220440881763526,0.9418837675350701,1.0821643286573146,8719.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-03,1.002004008016032,0.9418837675350701,1.062124248496994,8757.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-04,1.0220440881763526,0.9619238476953907,1.0821643286573146,8794.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-05,1.0220440881763526,0.9418837675350701,1.0821643286573146,8789.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-06,1.002004008016032,0.9418837675350701,1.062124248496994,8765.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-07,0.9819639278557114,0.9218436873747494,1.0420841683366733,8745.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-08,1.002004008016032,0.9418837675350701,1.062124248496994,8807.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-09,1.002004008016032,0.9418837675350701,1.062124248496994,8798.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-10,1.002004008016032,0.9418837675350701,1.062124248496994,8784.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-11,0.9819639278557114,0.9218436873747494,1.062124248496994,8761.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-12,1.002004008016032,0.9218436873747494,1.062124248496994,8766.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-13,0.9819639278557114,0.9218436873747494,1.062124248496994,8743.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
