,median,lower,upper,cases,one,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-05-04,1.1022044088176353,1.0420841683366733,1.1823647294589177,5840.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-05,1.1022044088176353,1.0220440881763526,1.1823647294589177,5891.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-06,1.222444889779559,1.1422845691382766,1.282565130260521,6412.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-07,1.282565130260521,1.222444889779559,1.3627254509018036,6867.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-08,1.503006012024048,1.4228456913827654,1.56312625250501,7825.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-09,1.503006012024048,1.442885771543086,1.5831663326653307,8597.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-10,1.442885771543086,1.3827655310621243,1.503006012024048,8971.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-11,1.222444889779559,1.1623246492985972,1.282565130260521,8943.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-12,1.062124248496994,1.002004008016032,1.122244488977956,8905.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-13,0.9819639278557114,0.9218436873747494,1.0420841683366733,8837.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-14,1.062124248496994,1.002004008016032,1.122244488977956,9264.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-15,1.2424849699398797,1.1823647294589177,1.3026052104208417,10184.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-16,1.4028056112224447,1.3627254509018036,1.4629258517034067,11159.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-17,1.4028056112224447,1.342685370741483,1.4629258517034067,11700.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-18,1.3627254509018036,1.3026052104208417,1.4028056112224447,12522.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-19,1.3026052104208417,1.2424849699398797,1.342685370741483,13266.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-20,1.3226452905811623,1.2625250501002003,1.3627254509018036,14085.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-21,1.3026052104208417,1.2625250501002003,1.342685370741483,14903.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-22,1.3026052104208417,1.2625250501002003,1.342685370741483,15803.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-23,1.3026052104208417,1.2625250501002003,1.342685370741483,16740.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-24,1.3026052104208417,1.2625250501002003,1.342685370741483,17790.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-25,1.1623246492985972,1.122244488977956,1.2024048096192383,17430.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-26,1.0220440881763526,0.9819639278557114,1.062124248496994,17028.0,1,0.0,2.0,3.0,4.0,5.0
