,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-04-05,0.8617234468937875,0.781563126252505,0.9418837675350701,4503.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-06,0.9218436873747494,0.8216432865731462,1.002004008016032,4464.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-07,0.9018036072144289,0.8216432865731462,0.9819639278557114,4309.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-08,0.8416833667334669,0.7615230460921844,0.9418837675350701,4123.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-09,0.8016032064128256,0.721442885771543,0.9018036072144289,3997.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-10,0.8216432865731462,0.721442885771543,0.9218436873747494,3891.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-11,0.9018036072144289,0.8016032064128256,0.9819639278557114,3890.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-12,0.9619238476953907,0.8817635270541082,1.062124248496994,3930.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-13,1.0220440881763526,0.9218436873747494,1.122244488977956,3938.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-14,1.002004008016032,0.9218436873747494,1.1022044088176353,3912.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-15,0.9018036072144289,0.8216432865731462,1.002004008016032,3720.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-16,0.8416833667334669,0.7414829659318637,0.9218436873747494,3579.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-17,0.781563126252505,0.6813627254509018,0.8817635270541082,3461.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-18,0.8016032064128256,0.7014028056112224,0.9018036072144289,3326.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-19,0.8416833667334669,0.721442885771543,0.9418837675350701,3250.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-20,0.8416833667334669,0.7414829659318637,0.9619238476953907,3176.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-21,0.8817635270541082,0.781563126252505,0.9819639278557114,3117.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-22,0.9218436873747494,0.8216432865731462,1.0420841683366733,3120.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-23,0.8817635270541082,0.781563126252505,0.9819639278557114,2968.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-24,0.8817635270541082,0.7615230460921844,0.9819639278557114,2902.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-25,0.8016032064128256,0.7014028056112224,0.9218436873747494,2796.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-26,0.8416833667334669,0.7414829659318637,0.9619238476953907,2724.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-27,0.8216432865731462,0.721442885771543,0.9418837675350701,2633.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-28,0.8016032064128256,0.6813627254509018,0.9218436873747494,2495.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-29,0.721442885771543,0.6012024048096192,0.8416833667334669,2307.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-30,0.6813627254509018,0.5410821643286573,0.8016032064128256,2180.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-01,0.6613226452905812,0.5210420841683366,0.781563126252505,2049.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-02,0.7414829659318637,0.6212424849699398,0.8617234468937875,1991.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-03,0.7615230460921844,0.6212424849699398,0.8817635270541082,1892.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
