,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0,hl4.5
2020-04-24,0.8216432865731462,0.5210420841683366,1.122244488977956,352.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-25,0.8617234468937875,0.561122244488978,1.1823647294589177,350.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-26,0.8216432865731462,0.501002004008016,1.1422845691382766,334.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-27,0.9218436873747494,0.6012024048096192,1.2424849699398797,337.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-28,0.9619238476953907,0.6412825651302605,1.282565130260521,342.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-29,1.0821643286573146,0.7615230460921844,1.4028056112224447,350.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-30,1.002004008016032,0.6813627254509018,1.3226452905811623,338.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-01,0.8817635270541082,0.561122244488978,1.2024048096192383,319.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-02,0.7414829659318637,0.42084168336673344,1.0821643286573146,303.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-03,0.7615230460921844,0.42084168336673344,1.1022044088176353,296.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-04,0.8617234468937875,0.5210420841683366,1.2024048096192383,295.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-05,1.002004008016032,0.6613226452905812,1.342685370741483,305.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-06,1.0420841683366733,0.6813627254509018,1.3627254509018036,302.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-07,1.122244488977956,0.781563126252505,1.442885771543086,316.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-08,1.122244488977956,0.781563126252505,1.4629258517034067,328.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-09,1.1422845691382766,0.8016032064128256,1.4629258517034067,328.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-10,1.062124248496994,0.721442885771543,1.3827655310621243,327.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-11,0.9819639278557114,0.6613226452905812,1.3026052104208417,326.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-12,1.0821643286573146,0.7615230460921844,1.4028056112224447,345.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-13,1.122244488977956,0.8016032064128256,1.442885771543086,353.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-14,1.222444889779559,0.9018036072144289,1.5230460921843687,371.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-15,1.1823647294589177,0.8817635270541082,1.4829659318637274,385.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-16,1.122244488977956,0.8216432865731462,1.4228456913827654,381.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-17,0.9819639278557114,0.6813627254509018,1.282565130260521,367.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-18,0.8617234468937875,0.561122244488978,1.1623246492985972,357.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-19,0.7615230460921844,0.4408817635270541,1.0821643286573146,332.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-20,0.9218436873747494,0.6012024048096192,1.222444889779559,350.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-21,1.002004008016032,0.6813627254509018,1.3026052104208417,356.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-22,1.2024048096192383,0.9018036072144289,1.5230460921843687,375.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-23,1.2024048096192383,0.8817635270541082,1.503006012024048,392.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-24,1.222444889779559,0.9218436873747494,1.5230460921843687,405.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-25,1.1022044088176353,0.8016032064128256,1.3827655310621243,397.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-26,1.0220440881763526,0.721442885771543,1.3026052104208417,396.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-27,0.9218436873747494,0.6212424849699398,1.2024048096192383,386.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-28,0.9218436873747494,0.6212424849699398,1.222444889779559,380.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-29,0.8617234468937875,0.561122244488978,1.1623246492985972,367.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-30,0.9619238476953907,0.6412825651302605,1.2625250501002003,377.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-31,0.9018036072144289,0.5811623246492986,1.2024048096192383,358.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-01,0.9619238476953907,0.6412825651302605,1.2625250501002003,359.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-02,0.781563126252505,0.4609218436873747,1.1022044088176353,333.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-03,0.781563126252505,0.4609218436873747,1.1022044088176353,316.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-04,0.7615230460921844,0.42084168336673344,1.0821643286573146,313.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-05,0.9018036072144289,0.561122244488978,1.222444889779559,315.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-06,1.122244488977956,0.781563126252505,1.442885771543086,337.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
