,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0
2020-04-23,1.3026052104208417,1.1422845691382766,1.4629258517034067,1384.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-24,1.2625250501002003,1.1022044088176353,1.4028056112224447,1442.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-25,1.222444889779559,1.062124248496994,1.3627254509018036,1486.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-26,1.122244488977956,0.9619238476953907,1.2625250501002003,1485.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-27,1.1422845691382766,0.9819639278557114,1.282565130260521,1564.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-28,1.1422845691382766,0.9819639278557114,1.282565130260521,1609.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-29,1.2024048096192383,1.0420841683366733,1.342685370741483,1664.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-30,1.122244488977956,0.9819639278557114,1.282565130260521,1686.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-01,1.1823647294589177,1.0420841683366733,1.3226452905811623,1794.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-02,1.222444889779559,1.1022044088176353,1.3627254509018036,1899.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-03,1.3627254509018036,1.222444889779559,1.4829659318637274,2070.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-04,1.503006012024048,1.3827655310621243,1.6232464929859718,2378.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-05,1.5430861723446894,1.4228456913827654,1.6633266533066131,2594.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-06,1.56312625250501,1.442885771543086,1.6833667334669338,2873.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-07,1.4629258517034067,1.342685370741483,1.56312625250501,3103.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
