,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-03-21,1.8236472945891782,1.6032064128256511,2.024048096192385,920.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-22,1.783567134268537,1.5831663326653307,1.9839679358717435,1053.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-23,1.8236472945891782,1.6432865731462925,2.004008016032064,1266.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-24,1.8436873747494988,1.6833667334669338,2.004008016032064,1491.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-25,1.8637274549098195,1.723446893787575,2.024048096192385,1747.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-26,1.8436873747494988,1.7034068136272544,1.9839679358717435,2055.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-27,1.8036072144288577,1.6633266533066131,1.9238476953907815,2365.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-28,1.6833667334669338,1.56312625250501,1.8036072144288577,2625.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-29,1.5430861723446894,1.4228456913827654,1.6633266533066131,2827.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-30,1.442885771543086,1.3226452905811623,1.5430861723446894,3059.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-31,1.4228456913827654,1.3026052104208417,1.5230460921843687,3333.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-01,1.442885771543086,1.342685370741483,1.5430861723446894,3649.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-02,1.442885771543086,1.342685370741483,1.5430861723446894,3955.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-03,1.4228456913827654,1.3226452905811623,1.5230460921843687,4265.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-04,1.3627254509018036,1.2625250501002003,1.442885771543086,4487.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-05,1.2424849699398797,1.1623246492985972,1.342685370741483,4570.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-06,1.1422845691382766,1.0420841683366733,1.222444889779559,4622.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-07,1.0821643286573146,1.002004008016032,1.1623246492985972,4694.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-08,1.062124248496994,0.9819639278557114,1.1422845691382766,4737.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-09,1.062124248496994,0.9819639278557114,1.1422845691382766,4793.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
