,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0
2020-04-20,0.8817635270541082,0.1002004008016032,1.7635270541082164,39.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-21,0.8817635270541082,0.1002004008016032,1.783567134268537,35.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-22,0.6212424849699398,0.04008016032064128,1.503006012024048,32.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-23,0.561122244488978,0.02004008016032064,1.4829659318637274,28.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-24,0.4408817635270541,0.02004008016032064,1.3627254509018036,21.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-25,0.3807615230460922,0.0,1.3026052104208417,17.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-26,0.3807615230460922,0.0,1.342685370741483,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-27,0.6012024048096192,0.02004008016032064,1.8036072144288577,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-28,0.8416833667334669,0.04008016032064128,2.1843687374749496,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-29,1.1823647294589177,0.1002004008016032,2.6052104208416833,15.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-30,1.1623246492985972,0.1002004008016032,2.5851703406813624,15.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-01,1.0821643286573146,0.08016032064128256,2.464929859719439,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-02,1.0821643286573146,0.08016032064128256,2.464929859719439,15.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-03,1.0821643286573146,0.08016032064128256,2.464929859719439,15.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-04,1.342685370741483,0.16032064128256512,2.7454909819639277,17.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-05,1.4228456913827654,0.2004008016032064,2.7655310621242486,19.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-06,1.56312625250501,0.3006012024048096,2.845691382765531,21.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-07,1.4228456913827654,0.24048096192384769,2.665330661322645,22.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
