,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5
2020-04-18,0.9819639278557114,0.9619238476953907,1.0220440881763526,29272.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-19,1.0220440881763526,0.9819639278557114,1.062124248496994,29329.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-20,1.0220440881763526,0.9819639278557114,1.062124248496994,29461.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-21,0.9819639278557114,0.9418837675350701,1.0220440881763526,28932.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-22,0.9619238476953907,0.9218436873747494,0.9819639278557114,28542.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-23,0.9418837675350701,0.9218436873747494,0.9819639278557114,28595.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-24,1.002004008016032,0.9619238476953907,1.0420841683366733,28923.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-25,1.0821643286573146,1.0420841683366733,1.1022044088176353,29793.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-26,1.1022044088176353,1.062124248496994,1.122244488977956,30277.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-27,1.0420841683366733,1.0220440881763526,1.0821643286573146,29803.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-28,0.9619238476953907,0.9418837675350701,1.002004008016032,29283.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-29,0.9018036072144289,0.8617234468937875,0.9218436873747494,28511.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-30,0.8817635270541082,0.8416833667334669,0.9018036072144289,27705.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-01,0.9018036072144289,0.8617234468937875,0.9418837675350701,27712.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-02,0.9619238476953907,0.9218436873747494,0.9819639278557114,27747.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-03,1.0220440881763526,0.9819639278557114,1.0420841683366733,27915.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-04,1.0220440881763526,0.9819639278557114,1.0420841683366733,27983.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-05,1.002004008016032,0.9619238476953907,1.0220440881763526,27634.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-06,0.9418837675350701,0.9018036072144289,0.9619238476953907,26875.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-07,0.8817635270541082,0.8617234468937875,0.9218436873747494,26266.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-08,0.8617234468937875,0.8216432865731462,0.9018036072144289,25517.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-09,0.9018036072144289,0.8617234468937875,0.9418837675350701,25375.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-10,0.9018036072144289,0.8817635270541082,0.9418837675350701,24940.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-11,0.9218436873747494,0.8817635270541082,0.9619238476953907,24330.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-12,0.8817635270541082,0.8416833667334669,0.9218436873747494,23689.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-13,0.8416833667334669,0.8016032064128256,0.8817635270541082,22836.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-14,0.8617234468937875,0.8216432865731462,0.9018036072144289,22514.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-15,0.9018036072144289,0.8617234468937875,0.9418837675350701,22477.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-16,1.002004008016032,0.9619238476953907,1.0420841683366733,22777.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-17,1.0420841683366733,1.002004008016032,1.0821643286573146,22973.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-18,1.0420841683366733,1.0220440881763526,1.0821643286573146,23156.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-19,1.002004008016032,0.9619238476953907,1.0420841683366733,22732.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-20,0.9819639278557114,0.9418837675350701,1.0220440881763526,22664.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-21,0.9418837675350701,0.9018036072144289,0.9819639278557114,22348.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-22,0.9819639278557114,0.9418837675350701,1.002004008016032,22400.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-23,0.9819639278557114,0.9418837675350701,1.0220440881763526,22411.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-24,1.0220440881763526,0.9819639278557114,1.062124248496994,22685.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-25,0.9819639278557114,0.9418837675350701,1.0220440881763526,22229.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-26,0.9418837675350701,0.9218436873747494,0.9819639278557114,21765.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-27,0.8617234468937875,0.8216432865731462,0.9018036072144289,20849.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-28,0.8416833667334669,0.8016032064128256,0.8817635270541082,20329.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-29,0.8817635270541082,0.8416833667334669,0.9218436873747494,20368.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-30,1.002004008016032,0.9619238476953907,1.0420841683366733,20873.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-31,1.062124248496994,1.0220440881763526,1.1022044088176353,21150.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-01,1.062124248496994,1.0220440881763526,1.1022044088176353,21199.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-02,1.0220440881763526,1.002004008016032,1.062124248496994,21260.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-03,1.002004008016032,0.9619238476953907,1.0420841683366733,21157.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-04,0.9619238476953907,0.9218436873747494,1.002004008016032,20766.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-05,0.9619238476953907,0.9218436873747494,1.002004008016032,20802.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-06,0.9819639278557114,0.9418837675350701,1.0220440881763526,20918.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-07,1.0220440881763526,0.9819639278557114,1.062124248496994,21005.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-08,1.0220440881763526,0.9819639278557114,1.062124248496994,20990.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-09,0.9619238476953907,0.9218436873747494,1.002004008016032,20493.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-10,0.9418837675350701,0.9018036072144289,0.9819639278557114,20239.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-11,0.9218436873747494,0.8817635270541082,0.9619238476953907,20140.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-12,0.9819639278557114,0.9418837675350701,1.0220440881763526,20254.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-13,1.062124248496994,1.0220440881763526,1.1022044088176353,20988.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-14,1.122244488977956,1.0821643286573146,1.1623246492985972,21672.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-15,1.1422845691382766,1.1022044088176353,1.1823647294589177,22098.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-16,1.122244488977956,1.0821643286573146,1.1623246492985972,22575.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-17,1.1022044088176353,1.062124248496994,1.1422845691382766,22926.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-18,1.1022044088176353,1.062124248496994,1.1422845691382766,23442.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-19,1.1422845691382766,1.1022044088176353,1.1623246492985972,24374.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-20,1.2024048096192383,1.1623246492985972,1.2424849699398797,25763.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-21,1.2625250501002003,1.222444889779559,1.282565130260521,27127.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-22,1.282565130260521,1.2424849699398797,1.3026052104208417,28579.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-23,1.2625250501002003,1.222444889779559,1.3026052104208417,29942.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-24,1.2424849699398797,1.2024048096192383,1.2625250501002003,31115.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-25,1.222444889779559,1.2024048096192383,1.2625250501002003,32623.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-26,1.2424849699398797,1.222444889779559,1.282565130260521,34600.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-27,1.282565130260521,1.2424849699398797,1.3026052104208417,36528.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-28,1.282565130260521,1.2625250501002003,1.3226452905811623,38622.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-29,1.2625250501002003,1.222444889779559,1.282565130260521,40104.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-30,1.222444889779559,1.1823647294589177,1.2424849699398797,41407.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-01,1.2024048096192383,1.1623246492985972,1.222444889779559,43191.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-02,1.2024048096192383,1.1823647294589177,1.222444889779559,45048.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-03,1.2024048096192383,1.1823647294589177,1.222444889779559,46641.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-04,1.1823647294589177,1.1422845691382766,1.2024048096192383,47849.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-05,1.1623246492985972,1.1422845691382766,1.1823647294589177,49337.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-06,1.1022044088176353,1.0821643286573146,1.1422845691382766,49761.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-07,1.1022044088176353,1.0821643286573146,1.122244488977956,50876.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-08,1.0821643286573146,1.062124248496994,1.1022044088176353,51689.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-09,1.122244488977956,1.0821643286573146,1.1422845691382766,53120.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-10,1.1623246492985972,1.1422845691382766,1.1823647294589177,55641.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-11,1.2024048096192383,1.1823647294589177,1.222444889779559,58220.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-12,1.2024048096192383,1.1823647294589177,1.222444889779559,59934.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-13,1.1623246492985972,1.1422845691382766,1.2024048096192383,61490.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-14,1.1022044088176353,1.0821643286573146,1.122244488977956,62104.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-15,1.0821643286573146,1.062124248496994,1.1022044088176353,62959.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-16,1.0821643286573146,1.062124248496994,1.1022044088176353,64628.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-17,1.1022044088176353,1.0821643286573146,1.122244488977956,65898.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-18,1.1022044088176353,1.0821643286573146,1.122244488977956,67152.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-19,1.0821643286573146,1.062124248496994,1.1022044088176353,67783.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-20,1.0420841683366733,1.0220440881763526,1.062124248496994,67664.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-21,0.9819639278557114,0.9619238476953907,1.002004008016032,66692.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-22,0.9619238476953907,0.9418837675350701,0.9819639278557114,66358.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-23,0.9418837675350701,0.9218436873747494,0.9619238476953907,65450.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-24,0.9819639278557114,0.9619238476953907,1.002004008016032,66121.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-25,1.0220440881763526,1.002004008016032,1.0420841683366733,67079.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-26,1.0420841683366733,1.0220440881763526,1.062124248496994,66719.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-27,0.9819639278557114,0.9619238476953907,1.002004008016032,65789.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
