,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5
2020-05-04,0.8016032064128256,0.6813627254509018,0.9218436873747494,2218.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-05,0.7414829659318637,0.6212424849699398,0.8817635270541082,2087.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-06,0.721442885771543,0.5811623246492986,0.8416833667334669,1970.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-07,0.721442885771543,0.6012024048096192,0.8617234468937875,1900.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-08,0.8216432865731462,0.6813627254509018,0.9418837675350701,1881.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-09,0.9018036072144289,0.7615230460921844,1.0220440881763526,1854.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-10,0.9418837675350701,0.8016032064128256,1.0821643286573146,1836.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-11,0.8817635270541082,0.7414829659318637,1.0220440881763526,1753.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-12,0.8416833667334669,0.7014028056112224,0.9819639278557114,1687.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-13,0.7615230460921844,0.6212424849699398,0.9018036072144289,1594.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-14,0.781563126252505,0.6412825651302605,0.9218436873747494,1550.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-15,0.8416833667334669,0.7014028056112224,1.002004008016032,1547.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-16,0.9819639278557114,0.8216432865731462,1.122244488977956,1572.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-17,1.0220440881763526,0.8817635270541082,1.1623246492985972,1570.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-18,1.0220440881763526,0.8617234468937875,1.1623246492985972,1563.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-19,0.8817635270541082,0.7414829659318637,1.0220440881763526,1467.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-20,0.7615230460921844,0.6012024048096192,0.9018036072144289,1359.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-21,0.6012024048096192,0.4408817635270541,0.7615230460921844,1245.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-22,0.561122244488978,0.3807615230460922,0.721442885771543,1131.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-23,0.5811623246492986,0.4008016032064128,0.7414829659318637,1067.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-24,0.6813627254509018,0.501002004008016,0.8617234468937875,1042.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-25,0.8416833667334669,0.6613226452905812,1.0220440881763526,1033.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-26,0.9418837675350701,0.7615230460921844,1.122244488977956,1032.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-27,1.002004008016032,0.8016032064128256,1.1823647294589177,1039.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-28,1.0420841683366733,0.8617234468937875,1.222444889779559,1058.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-29,1.062124248496994,0.8817635270541082,1.2424849699398797,1075.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-30,1.0420841683366733,0.8416833667334669,1.2024048096192383,1059.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-05-31,0.9619238476953907,0.781563126252505,1.1422845691382766,1033.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-01,0.8817635270541082,0.7014028056112224,1.0821643286573146,1010.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-02,0.8617234468937875,0.6813627254509018,1.0420841683366733,976.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-03,0.8216432865731462,0.6412825651302605,1.0220440881763526,935.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-04,0.8016032064128256,0.6012024048096192,0.9819639278557114,900.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-05,0.8216432865731462,0.6212424849699398,1.002004008016032,878.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-06,0.8817635270541082,0.6813627254509018,1.0821643286573146,875.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-07,0.9819639278557114,0.781563126252505,1.1823647294589177,890.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-08,1.062124248496994,0.8617234468937875,1.2625250501002003,911.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-09,1.122244488977956,0.9218436873747494,1.3026052104208417,935.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-10,1.1022044088176353,0.9018036072144289,1.282565130260521,943.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-11,1.062124248496994,0.8617234468937875,1.2625250501002003,946.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-12,1.0821643286573146,0.8817635270541082,1.2625250501002003,978.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-13,1.1823647294589177,1.002004008016032,1.3627254509018036,1048.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-14,1.3226452905811623,1.1422845691382766,1.503006012024048,1139.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-15,1.4028056112224447,1.2424849699398797,1.5831663326653307,1238.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
