,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0
2020-05-04,2.1442885771543083,0.16032064128256512,4.789579158316633,4.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-05,1.9639278557114228,0.1402805611222445,4.428857715430862,5.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-06,2.1042084168336674,0.2004008016032064,4.38877755511022,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-07,1.9238476953907815,0.18036072144288576,4.028056112224449,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-08,1.6032064128256511,0.12024048096192384,3.5871743486973946,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-09,1.3827655310621243,0.1002004008016032,3.2665330661322645,8.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-10,1.3627254509018036,0.1002004008016032,3.226452905811623,8.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-11,1.503006012024048,0.12024048096192384,3.3266533066132262,9.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-12,1.3226452905811623,0.1002004008016032,3.0861723446893787,9.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-13,1.0420841683366733,0.06012024048096192,2.7655310621242486,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-14,1.3226452905811623,0.1002004008016032,3.0861723446893787,10.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-15,1.3026052104208417,0.1002004008016032,3.0460921843687374,10.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-16,2.004008016032064,0.3607214428857715,3.6873747494989977,13.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-17,2.1042084168336674,0.501002004008016,3.6072144288577155,18.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-18,2.7655310621242486,1.3827655310621243,4.06813627254509,27.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-19,3.2064128256513023,2.0841683366733466,4.248496993987976,44.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-20,2.885771543086172,1.9438877755511021,3.74749498997996,57.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
