,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0,hl4.5
2020-04-14,1.0821643286573146,0.9018036072144289,1.2625250501002003,1152.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-15,0.9819639278557114,0.8016032064128256,1.1422845691382766,1104.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-16,0.8617234468937875,0.6813627254509018,1.0420841683366733,1053.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-17,0.781563126252505,0.6012024048096192,0.9619238476953907,1021.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-18,0.8416833667334669,0.6613226452905812,1.0220440881763526,1006.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-19,0.9218436873747494,0.7414829659318637,1.122244488977956,1013.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-20,0.9819639278557114,0.8016032064128256,1.1623246492985972,1010.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-21,0.9819639278557114,0.8016032064128256,1.1623246492985972,994.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-22,0.9218436873747494,0.7414829659318637,1.1022044088176353,967.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-23,0.8416833667334669,0.6412825651302605,1.0220440881763526,917.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-24,0.7414829659318637,0.5410821643286573,0.9418837675350701,854.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-25,0.6613226452905812,0.4609218436873747,0.8617234468937875,796.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-26,0.6613226452905812,0.4408817635270541,0.8617234468937875,752.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-27,0.6813627254509018,0.4609218436873747,0.8817635270541082,710.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-28,0.6012024048096192,0.3807615230460922,0.8216432865731462,633.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-29,0.501002004008016,0.280561122244489,0.7414829659318637,563.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-30,0.3807615230460922,0.12024048096192384,0.6212424849699398,494.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-01,0.3807615230460922,0.12024048096192384,0.6412825651302605,445.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-02,0.48096192384769537,0.2004008016032064,0.7615230460921844,421.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-03,0.6212424849699398,0.32064128256513025,0.9018036072144289,398.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-04,0.7414829659318637,0.4408817635270541,1.0220440881763526,383.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-05,0.8416833667334669,0.5410821643286573,1.1422845691382766,387.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-06,0.8016032064128256,0.501002004008016,1.1022044088176353,356.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-07,0.781563126252505,0.4609218436873747,1.0821643286573146,337.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-08,0.6613226452905812,0.3406813627254509,0.9819639278557114,319.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-09,0.7414829659318637,0.42084168336673344,1.062124248496994,308.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-10,0.8016032064128256,0.48096192384769537,1.1422845691382766,303.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-11,0.8817635270541082,0.5410821643286573,1.2024048096192383,297.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-12,0.8016032064128256,0.4609218436873747,1.1422845691382766,276.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-13,0.7414829659318637,0.4008016032064128,1.1022044088176353,262.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-14,0.6012024048096192,0.24048096192384769,0.9619238476953907,236.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-15,0.6212424849699398,0.24048096192384769,1.002004008016032,223.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-16,0.6412825651302605,0.24048096192384769,1.0220440881763526,214.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-17,0.7414829659318637,0.32064128256513025,1.1422845691382766,203.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-18,0.781563126252505,0.3607214428857715,1.1823647294589177,197.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-19,0.7014028056112224,0.280561122244489,1.122244488977956,181.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-20,0.7014028056112224,0.2605210420841683,1.122244488977956,171.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-21,0.7014028056112224,0.2605210420841683,1.1422845691382766,167.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-22,0.8817635270541082,0.42084168336673344,1.3226452905811623,169.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-23,1.0220440881763526,0.561122244488978,1.4629258517034067,174.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-24,1.1422845691382766,0.7014028056112224,1.5831663326653307,182.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-25,1.2024048096192383,0.7615230460921844,1.6232464929859718,190.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-26,1.1623246492985972,0.721442885771543,1.5831663326653307,191.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-27,1.0420841683366733,0.6012024048096192,1.4629258517034067,186.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-28,0.8817635270541082,0.4408817635270541,1.3026052104208417,178.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-29,0.8617234468937875,0.42084168336673344,1.3026052104208417,177.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-30,0.8617234468937875,0.4008016032064128,1.3026052104208417,172.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-31,0.9418837675350701,0.48096192384769537,1.3827655310621243,172.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-01,0.8416833667334669,0.3807615230460922,1.282565130260521,161.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-02,0.8016032064128256,0.3406813627254509,1.2625250501002003,154.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
