,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-04-09,0.4609218436873747,0.02004008016032064,1.1022044088176353,63.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-10,0.4408817635270541,0.02004008016032064,1.122244488977956,55.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-11,0.3807615230460922,0.02004008016032064,1.0821643286573146,46.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-12,0.3607214428857715,0.0,1.0821643286573146,39.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-13,0.42084168336673344,0.02004008016032064,1.2024048096192383,36.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-14,0.5210420841683366,0.02004008016032064,1.3827655310621243,33.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-15,0.6012024048096192,0.04008016032064128,1.5230460921843687,29.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-16,0.6212424849699398,0.04008016032064128,1.56312625250501,27.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-17,0.6813627254509018,0.04008016032064128,1.6833667334669338,26.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-18,0.8016032064128256,0.06012024048096192,1.8637274549098195,25.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-19,0.7414829659318637,0.04008016032064128,1.8236472945891782,22.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-20,0.6813627254509018,0.04008016032064128,1.783567134268537,20.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-21,0.5811623246492986,0.02004008016032064,1.6833667334669338,17.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-22,0.561122244488978,0.02004008016032064,1.7034068136272544,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-23,0.6012024048096192,0.02004008016032064,1.8036072144288577,13.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-24,0.7014028056112224,0.02004008016032064,2.024048096192385,12.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-25,0.8216432865731462,0.04008016032064128,2.244488977955912,11.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-26,0.9218436873747494,0.04008016032064128,2.4048096192384767,11.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-27,1.0220440881763526,0.06012024048096192,2.5450901803607215,11.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-28,1.122244488977956,0.08016032064128256,2.685370741482966,11.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-29,1.0220440881763526,0.06012024048096192,2.565130260521042,10.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-30,1.0220440881763526,0.06012024048096192,2.6052104208416833,10.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-01,0.9218436873747494,0.04008016032064128,2.50501002004008,9.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-02,1.0420841683366733,0.06012024048096192,2.665330661322645,9.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-03,1.0420841683366733,0.06012024048096192,2.7054108216432864,9.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-04,1.0420841683366733,0.06012024048096192,2.7254509018036073,8.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-05,0.9418837675350701,0.04008016032064128,2.6252505010020037,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-06,0.9418837675350701,0.04008016032064128,2.685370741482966,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-07,0.9619238476953907,0.04008016032064128,2.7454909819639277,6.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-08,1.4028056112224447,0.1002004008016032,3.3266533066132262,8.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-09,1.723446893787575,0.16032064128256512,3.6072144288577155,10.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-10,2.6052104208416833,0.781563126252505,4.288577154308617,15.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-11,2.464929859719439,0.8617234468937875,3.9278557114228456,19.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-12,2.3246492985971945,0.9018036072144289,3.6072144288577155,23.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-13,1.9639278557114228,0.7014028056112224,3.1462925851703405,27.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-14,1.6232464929859718,0.4609218436873747,2.7254509018036073,28.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-15,1.3026052104208417,0.2605210420841683,2.3847695390781563,28.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-16,0.9018036072144289,0.08016032064128256,1.9639278557114228,25.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-17,0.7615230460921844,0.04008016032064128,1.8036072144288577,23.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-18,0.6012024048096192,0.02004008016032064,1.6633266533066131,20.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-19,0.7414829659318637,0.04008016032064128,1.8637274549098195,20.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-20,0.721442885771543,0.04008016032064128,1.8837675350701402,18.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-21,0.9018036072144289,0.06012024048096192,2.124248496993988,18.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-22,0.9018036072144289,0.06012024048096192,2.1442885771543083,18.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-23,1.2024048096192383,0.1402805611222445,2.4849699398797593,20.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-24,1.2024048096192383,0.1402805611222445,2.444889779559118,20.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-25,1.2625250501002003,0.16032064128256512,2.50501002004008,21.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-26,1.1823647294589177,0.1402805611222445,2.3847695390781563,22.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-27,1.6833667334669338,0.4609218436873747,2.8256513026052104,29.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-28,1.9639278557114228,0.8416833667334669,3.0260521042084165,36.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-29,1.9639278557114228,0.9418837675350701,2.9258517034068134,40.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-30,1.6432865731462925,0.6813627254509018,2.5450901803607215,43.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-31,1.3627254509018036,0.4609218436873747,2.244488977955912,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-01,1.1823647294589177,0.32064128256513025,2.0440881763527052,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-02,1.0420841683366733,0.2004008016032064,1.8837675350701402,44.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-03,0.8216432865731462,0.1002004008016032,1.6633266533066131,40.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-04,0.7414829659318637,0.06012024048096192,1.6032064128256511,38.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-05,0.8416833667334669,0.1002004008016032,1.723446893787575,40.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-06,1.1623246492985972,0.2605210420841683,2.064128256513026,44.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-07,1.282565130260521,0.3807615230460922,2.1442885771543083,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-08,1.1823647294589177,0.32064128256513025,2.0440881763527052,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-09,1.0420841683366733,0.2004008016032064,1.8837675350701402,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-10,1.0420841683366733,0.2004008016032064,1.8837675350701402,46.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-11,1.062124248496994,0.24048096192384769,1.9038076152304608,47.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-12,1.062124248496994,0.24048096192384769,1.9038076152304608,47.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-13,0.9619238476953907,0.16032064128256512,1.8036072144288577,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-14,0.9218436873747494,0.1402805611222445,1.7635270541082164,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-15,0.8817635270541082,0.12024048096192384,1.7434869739478958,44.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-16,0.8817635270541082,0.12024048096192384,1.7434869739478958,42.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-17,0.9218436873747494,0.1402805611222445,1.783567134268537,43.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-18,0.9218436873747494,0.1402805611222445,1.783567134268537,42.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-19,1.1422845691382766,0.280561122244489,2.024048096192385,46.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-20,1.222444889779559,0.3607214428857715,2.064128256513026,49.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
