,median,lower,upper,cases,one,hl-2.0,hl0.0,hl2.0,hl4.0,hl6.0,hl8.0,hl10.0,hl12.0
2020-03-27,1.342685370741483,0.781563126252505,1.8837675350701402,118.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-28,1.122244488977956,0.561122244488978,1.6432865731462925,116.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-29,0.9418837675350701,0.3807615230460922,1.4829659318637274,111.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-30,0.9218436873747494,0.3607214428857715,1.4629258517034067,113.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-31,1.002004008016032,0.4408817635270541,1.5430861723446894,117.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-01,1.1422845691382766,0.6012024048096192,1.6833667334669338,121.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-02,1.122244488977956,0.561122244488978,1.6432865731462925,121.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-03,1.062124248496994,0.5210420841683366,1.5831663326653307,122.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-04,0.9619238476953907,0.4008016032064128,1.4829659318637274,118.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-05,0.8416833667334669,0.3006012024048096,1.3827655310621243,111.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-06,0.6613226452905812,0.1402805611222445,1.2024048096192383,100.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-07,0.5210420841683366,0.06012024048096192,1.0821643286573146,88.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-08,0.5210420841683366,0.04008016032064128,1.122244488977956,84.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-09,0.561122244488978,0.06012024048096192,1.1823647294589177,77.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-10,0.6212424849699398,0.08016032064128256,1.2625250501002003,70.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-11,0.561122244488978,0.04008016032064128,1.222444889779559,64.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-12,0.5210420841683366,0.04008016032064128,1.2024048096192383,57.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-13,0.5410821643286573,0.04008016032064128,1.2424849699398797,52.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-14,0.5811623246492986,0.04008016032064128,1.3226452905811623,49.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-15,0.48096192384769537,0.02004008016032064,1.2424849699398797,39.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-16,0.4609218436873747,0.02004008016032064,1.2625250501002003,35.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-17,0.42084168336673344,0.02004008016032064,1.2424849699398797,32.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-18,0.6613226452905812,0.04008016032064128,1.6032064128256511,31.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-19,0.781563126252505,0.06012024048096192,1.7635270541082164,30.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-20,0.9018036072144289,0.1002004008016032,1.9238476953907815,30.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-21,0.9018036072144289,0.08016032064128256,1.9238476953907815,29.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
