,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-04-11,0.721442885771543,0.6412825651302605,0.8016032064128256,5304.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-12,0.781563126252505,0.7014028056112224,0.8617234468937875,5100.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-13,0.7615230460921844,0.6813627254509018,0.8416833667334669,4824.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-14,0.6813627254509018,0.6012024048096192,0.7615230460921844,4388.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-15,0.6412825651302605,0.5410821643286573,0.721442885771543,4122.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-16,0.8016032064128256,0.7014028056112224,0.8817635270541082,4304.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-17,1.0420841683366733,0.9619238476953907,1.1422845691382766,4506.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-18,1.062124248496994,0.9819639278557114,1.1623246492985972,4294.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-19,1.1422845691382766,1.0420841683366733,1.222444889779559,4655.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-20,1.002004008016032,0.9018036072144289,1.0821643286573146,4504.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-21,1.0821643286573146,0.9819639278557114,1.1623246492985972,4488.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-22,0.8416833667334669,0.7414829659318637,0.9218436873747494,4227.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-23,0.7615230460921844,0.6813627254509018,0.8617234468937875,3913.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-24,,,,2301.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-25,,,,2020.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-26,,,,1160.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-27,0.0,0.0,0.04008016032064128,943.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-28,,,,628.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-29,0.02004008016032064,0.0,0.12024048096192384,586.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-30,0.04008016032064128,0.0,0.2004008016032064,523.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-01,,,,1703.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-02,,,,1514.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-03,,,,1405.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-04,0.4609218436873747,0.3006012024048096,0.6212424849699398,1246.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-05,0.5811623246492986,0.42084168336673344,0.7615230460921844,1198.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-06,0.5210420841683366,0.3406813627254509,0.7014028056112224,1067.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-07,0.781563126252505,0.6012024048096192,0.9619238476953907,1101.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-08,0.781563126252505,0.6012024048096192,0.9619238476953907,1063.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-09,0.9218436873747494,0.7414829659318637,1.1022044088176353,1024.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-10,0.8617234468937875,0.6813627254509018,1.0420841683366733,1022.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-11,1.342685370741483,1.1623246492985972,1.503006012024048,1269.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-12,1.342685370741483,1.1623246492985972,1.503006012024048,1248.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-13,1.3026052104208417,1.1422845691382766,1.4629258517034067,1237.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-14,0.9018036072144289,0.7414829659318637,1.062124248496994,1201.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-15,0.781563126252505,0.6212424849699398,0.9619238476953907,1098.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-16,0.6613226452905812,0.48096192384769537,0.8416833667334669,1015.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-17,0.42084168336673344,0.22044088176352705,0.6012024048096192,849.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-18,0.08016032064128256,0.0,0.24048096192384769,591.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-19,0.04008016032064128,0.0,0.2004008016032064,559.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-20,0.1402805611222445,0.0,0.3607214428857715,532.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-21,0.7014028056112224,0.4408817635270541,0.9418837675350701,495.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-22,1.2024048096192383,0.9619238476953907,1.4629258517034067,624.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-23,1.4228456913827654,1.1823647294589177,1.6633266533066131,670.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-24,1.6633266533066131,1.442885771543086,1.8837675350701402,740.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-25,0.9819639278557114,0.7615230460921844,1.2024048096192383,617.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-26,0.8617234468937875,0.6412825651302605,1.1022044088176353,620.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-27,0.4008016032064128,0.16032064128256512,0.6412825651302605,523.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-28,0.9018036072144289,0.6613226452905812,1.1623246492985972,587.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-29,0.6412825651302605,0.4008016032064128,0.9018036072144289,507.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-30,1.1623246492985972,0.9218436873747494,1.4228456913827654,577.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-31,1.0420841683366733,0.781563126252505,1.282565130260521,599.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-01,1.4028056112224447,1.1623246492985972,1.6432865731462925,642.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-02,0.9218436873747494,0.6813627254509018,1.1623246492985972,552.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-03,0.8016032064128256,0.5410821643286573,1.0420841683366733,531.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-04,0.1402805611222445,0.0,0.3807615230460922,372.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-05,0.16032064128256512,0.0,0.4408817635270541,330.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-06,0.08016032064128256,0.0,0.32064128256513025,302.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-07,0.6412825651302605,0.32064128256513025,0.9819639278557114,307.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-08,0.8617234468937875,0.5210420841683366,1.1823647294589177,304.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-09,0.9218436873747494,0.5811623246492986,1.2625250501002003,289.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-10,0.8016032064128256,0.4408817635270541,1.1422845691382766,273.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
