,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-04-29,1.3026052104208417,0.721442885771543,1.8436873747494988,117.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-30,1.4629258517034067,0.9218436873747494,1.9839679358717435,132.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-01,1.503006012024048,0.9819639278557114,2.004008016032064,153.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-02,1.7034068136272544,1.222444889779559,2.1843687374749496,176.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-03,1.6232464929859718,1.1623246492985972,2.064128256513026,191.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-04,1.5430861723446894,1.1022044088176353,1.9639278557114228,210.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-05,1.2424849699398797,0.8416833667334669,1.6633266533066131,205.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-06,1.1022044088176353,0.6813627254509018,1.503006012024048,203.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-07,1.0821643286573146,0.6613226452905812,1.4829659318637274,219.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-08,1.282565130260521,0.8817635270541082,1.6633266533066131,240.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-09,1.3827655310621243,1.002004008016032,1.7635270541082164,254.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-10,1.3627254509018036,0.9819639278557114,1.723446893787575,270.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-11,1.222444889779559,0.8617234468937875,1.5831663326653307,274.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-12,1.1022044088176353,0.7414829659318637,1.4629258517034067,271.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-13,0.9218436873747494,0.561122244488978,1.282565130260521,258.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-14,0.6813627254509018,0.32064128256513025,1.062124248496994,228.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-15,0.5811623246492986,0.2004008016032064,0.9619238476953907,214.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-16,0.6012024048096192,0.2004008016032064,1.002004008016032,207.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-17,0.9218436873747494,0.501002004008016,1.3226452905811623,218.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
