,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-05-16,1.1623246492985972,0.9418837675350701,1.3827655310621243,740.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-17,1.0821643286573146,0.8617234468937875,1.3026052104208417,738.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-18,1.0821643286573146,0.8617234468937875,1.282565130260521,755.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-19,1.062124248496994,0.8416833667334669,1.282565130260521,769.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-20,1.1422845691382766,0.9218436873747494,1.342685370741483,800.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-21,1.1623246492985972,0.9619238476953907,1.3627254509018036,830.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-22,1.2024048096192383,1.002004008016032,1.4028056112224447,865.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-23,1.1623246492985972,0.9619238476953907,1.3627254509018036,878.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-24,1.1022044088176353,0.9018036072144289,1.3026052104208417,885.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-25,1.0220440881763526,0.8216432865731462,1.222444889779559,879.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-26,0.9619238476953907,0.7615230460921844,1.1623246492985972,860.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-27,0.9218436873747494,0.721442885771543,1.122244488977956,845.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-28,0.8416833667334669,0.6412825651302605,1.0420841683366733,806.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-29,0.8016032064128256,0.5811623246492986,1.002004008016032,762.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-30,0.781563126252505,0.561122244488978,0.9819639278557114,742.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-31,0.8016032064128256,0.5811623246492986,1.0220440881763526,720.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-01,0.8416833667334669,0.6212424849699398,1.0420841683366733,692.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-02,0.8216432865731462,0.6012024048096192,1.0420841683366733,668.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-03,0.781563126252505,0.561122244488978,1.002004008016032,635.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-04,0.8617234468937875,0.6212424849699398,1.0821643286573146,640.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-05,0.9018036072144289,0.6613226452905812,1.1422845691382766,633.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-06,0.9619238476953907,0.721442885771543,1.2024048096192383,622.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-07,0.9218436873747494,0.6813627254509018,1.1422845691382766,610.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-08,0.9218436873747494,0.6813627254509018,1.1422845691382766,602.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
