,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0
2020-05-06,1.3226452905811623,0.4609218436873747,2.164328657314629,51.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-07,1.442885771543086,0.6012024048096192,2.244488977955912,57.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-08,1.4028056112224447,0.6012024048096192,2.164328657314629,61.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-09,1.6633266533066131,0.9018036072144289,2.3647294589178354,74.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-10,1.6833667334669338,0.9619238476953907,2.344689378757515,84.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-11,1.6032064128256511,0.9418837675350701,2.224448897795591,88.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-12,1.3627254509018036,0.721442885771543,1.9839679358717435,92.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-13,1.1623246492985972,0.5410821643286573,1.7635270541082164,93.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-14,1.1422845691382766,0.5210420841683366,1.7434869739478958,96.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-15,1.0821643286573146,0.48096192384769537,1.6833667334669338,97.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-16,1.122244488977956,0.5210420841683366,1.7034068136272544,100.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-17,1.1823647294589177,0.5811623246492986,1.7635270541082164,107.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
